LU,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,NUM_FLOORS
CD,Y,419600,1729,16,3
R2,N,606300,5000,29,2
R1,N,342500,1660,114,2
R1,Y,351400,5000,99,2
R1,Y,341500,5000,104,3
R2,Y,547200,5000,129,2
C,N,210000,5000,44,1
C,N,625500,6000,69,1
C,N,590346,8100,89,1
E,N,1062000,14010,86,1
R3,Y,501900,3087,80,1
R3,Y,567600,2091,99,3
R3,Y,456800,1820,109,3
R2,N,424600,2178,109,2
R3,Y,604300,2536,109,3
R2,Y,519400,2895,109,2.5
R3,N,599200,3178,99,3
R3,N,622100,2411,109,3
R2,Y,515000,2257,129,2.5
R2,Y,580400,4395,119,2
R2,Y,424500,5605,119,2
R2,Y,479000,2700,94,2
R1,Y,453400,7300,94,2
R3,N,725076,4942,109,3
R3,N,575800,4458,109,3
R1,Y,349300,3100,119,2
R2,Y,719900,7500,94,2.5
R1,Y,432600,10000,119,2
R2,Y,458900,2500,114,2
R2,Y,473900,2500,114,2
R2,Y,459200,2500,119,2
R2,Y,432600,2500,119,2
R3,Y,587574,2500,109,3
CD,N,398500,962,3,1
CD,Y,407700,982,3,1
CD,Y,421800,1074,3,1
R2,Y,573400,5000,119,2.5
CD,Y,476800,1815,2,2
CD,Y,485900,1329,2,1
R3,Y,518300,3334,114,3
R1,Y,439700,7760,129,2
R2,Y,556500,5125,119,2
R3,N,572900,2246,119,3
R3,N,525600,2254,119,3
R3,Y,539900,2583,108,3
R3,N,646700,2583,149,3
R3,N,518100,2584,119,3
R3,Y,519200,2583,119,3
R3,N,500700,2583,119,3
R3,Y,571900,2584,119,3
R2,Y,367300,2500,119,2
R3,Y,527700,2500,120,3
R2,N,407500,2500,119,2
R1,Y,279300,2500,119,2
R1,Y,295700,2500,119,2
R2,Y,417500,2500,119,2
R2,Y,420600,2500,119,2
R2,N,429400,2500,119,2
R2,N,435800,2500,120,2
R3,N,559600,2500,89,3
R2,N,456800,2500,120,2
R2,Y,411400,2500,149,2
R3,N,603800,2500,109,3
R3,Y,476500,2500,119,3
R2,N,456000,2715,101,2
R2,N,486600,2599,101,2
R2,Y,440500,2580,101,2
R2,N,487200,2589,101,2
R2,Y,453800,2592,101,2
R2,Y,495000,2592,113,2
R2,N,453600,2600,101,2
R2,Y,484000,2561,101,2
R2,Y,538500,2295,113,2
R2,Y,461400,1993,101,2
R2,Y,476800,1991,119,2
E,N,563900,9722,116,1
R3,N,731000,2400,109,3
R1,Y,331800,2400,109,1
R3,N,490000,4080,119,2
R2,N,420800,2500,109,2
R1,Y,421500,2500,109,2
R2,Y,568700,5000,144,2
R1,Y,337400,5000,109,1
R1,N,326200,5000,119,2
R2,Y,459700,2500,109,2
R3,Y,523100,2500,109,2.5
R4,N,659000,5000,109,2
R3,N,510000,1825,109,3
R4,N,1451500,2025,94,3
C,N,214452,3240,59,1
R1,Y,201600,1260,109,1.5
R3,N,655400,3500,119,3
R2,N,564000,4000,109,2
R3,N,565100,5000,109,3
R2,N,412300,2500,114,2
R1,Y,342500,2500,109,1.5
R2,Y,544600,5000,109,2
R1,Y,338300,2500,109,1.5
R1,Y,386100,5000,109,1.5
R3,N,455400,2500,114,3
R1,Y,285100,2500,109,1.5
R3,Y,536320,4060,109,2
R3,Y,536320,4060,59,2
R4,N,707500,1762,94,3
R2,Y,434200,2500,119,2
R2,N,411600,2500,129,2
R2,N,443600,2500,129,2
R3,N,510700,2375,120,2
R2,N,490600,2299,129,2
R2,Y,439100,2394,129,2
R2,Y,396300,1600,129,2
R2,N,441800,1589,129,2
R2,Y,401000,1329,119,2
R2,Y,306500,1056,129,2
R1,Y,208600,785,129,2
R3,Y,509200,2236,119,3
R3,N,456100,2538,109,3
R2,N,526500,4993,99,2
R3,N,543300,2212,129,3
R3,N,479400,1226,119,3
R3,N,471300,1173,119,3
R1,Y,249300,1326,119,1.5
R3,N,468300,1600,119,3
R3,Y,541700,2500,119,2
R3,Y,493000,1625,120,3
R1,N,310300,1250,119,2
R2,Y,418300,1250,119,2
R2,Y,495000,1250,119,2
R3,Y,548300,2500,119,3
C,N,226000,2492,59,1
R2,Y,527000,2500,119,2
R1,Y,301900,2500,119,2
R2,Y,434100,2500,119,2
R2,N,467700,2500,119,2
R3,N,550100,2125,129,3
R1,N,300400,2500,119,2
R3,N,542700,2500,129,3
R3,Y,472000,2250,129,2
R2,N,516400,2532,119,2
CD,Y,459900,1588,2,2
CD,Y,431600,1067,2,1
R1,Y,326200,2500,119,2
R2,N,448400,2500,119,2.5
R1,Y,207900,1250,119,1.5
R1,Y,338900,1503,129,2.5
R1,Y,290600,1000,119,1.5
R2,Y,412000,1250,119,2
R2,Y,390300,1250,119,2
R1,Y,255900,1250,109,1.5
R2,N,448200,1250,119,2
R2,Y,439600,1250,119,2
R1,N,344300,3825,109,2
C,N,2485500,26175,11,2
R1,Y,309500,2940,129,2
R2,N,366400,2060,139,2
R2,Y,513900,5000,119,2
R1,Y,263300,2500,109,1.5
R1,Y,316400,2500,109,2
R1,Y,345700,2500,119,2
R3,N,352800,2500,129,3
R3,N,566800,2500,129,3
R3,Y,475100,2500,129,3
R3,Y,541900,2500,129,3
C,N,271000,2500,99,1
C,N,400500,3500,94,1
R1,Y,265000,2500,109,1.5
R2,Y,331400,2500,119,2
R1,N,270800,2500,109,2
C,N,195900,2500,41,1
R3,N,636300,2863,119,3
R3,N,577200,2803,119,3
R3,Y,539300,2834,89,3
R3,N,591000,2500,119,3
R3,Y,671400,4000,79,3
R3,Y,569500,5000,129,3
R4,Y,841000,5000,120,2.5
R1,Y,334500,2500,129,2
R2,Y,526600,3750,129,2
R2,N,644800,3000,114,2
R2,Y,479200,3250,119,2
R2,Y,484800,2500,119,2
R2,N,450800,2500,94,2
RC,Y,486000,2500,120,3
R1,Y,354400,2500,119,2
R1,Y,314200,2500,109,1.5
R2,Y,465600,2500,109,2
R1,Y,529000,2406,16,2.5
R1,Y,313500,2594,109,2
CD,N,416300,1025,9,2
CD,Y,493500,1101,9,2
R1,N,352000,2500,109,1.5
R2,Y,498500,5200,109,2
R1,N,407400,4800,109,2.5
R2,Y,573500,3750,120,3
R3,Y,576200,4375,119,3
R3,Y,673200,4375,119,3
R3,Y,552100,4375,119,3
R3,N,694200,4375,119,3
R3,Y,627900,4375,119,3
R3,N,764200,4375,119,3
C,N,199000,1500,94,2
RC,N,500000,2952,99,3
R2,N,453200,1800,119,2
CD,Y,365300,1063,79,1
CD,Y,368800,1094,79,1
R2,N,456000,2040,119,2
RC,Y,342500,4419,119,3
R1,Y,229700,2222,109,1.5
R1,Y,324800,2222,129,2
R2,Y,463100,2500,119,2
R2,N,498600,2500,97,2
R3,N,613200,2500,119,3
R2,Y,546500,2500,119,2
R2,Y,437500,2500,129,2
R3,Y,309100,2500,129,3
R3,N,542200,2500,119,3
R3,Y,516700,2500,119,3
CD,Y,339200,687,119,1
CD,Y,358100,726,119,1
CD,N,420900,1005,119,1
CD,Y,397900,1176,119,1
R2,Y,461200,2500,119,2
R2,Y,515800,2500,119,2
E,N,1080570,3000,120,2
E,N,1840237,5110,120,3
E,N,6303160,17500,120,3
R1,Y,271100,2500,119,2
R2,Y,418400,2500,107,2
R2,Y,404500,2500,119,2
R2,N,584700,5000,119,2
R2,Y,519500,5000,119,2
R2,Y,548400,2700,119,2
R2,Y,491800,4600,119,2
R2,N,479900,2900,109,2.5
R2,Y,642375,2500,2,2
R1,Y,259000,1875,119,1.5
R1,Y,340700,5625,53,1
R2,Y,455200,1825,129,2
R2,N,429500,2304,129,2
E,N,6450000,30000,110,1
CD,Y,326100,2061,31,2
CD,Y,314900,2078,31,2
CD,Y,322200,2079,31,2
CD,N,328300,2053,31,2
CD,Y,420500,2031,31,2
CD,Y,323800,2014,31,2
CD,Y,393400,1997,31,3
R2,Y,537300,3333,119,2
R1,Y,591600,2667,7,2
R3,N,652700,3333,119,3
R2,Y,459000,2500,119,2
R3,N,627900,2962,101,3
R1,Y,275600,2812,119,1.5
R3,Y,636500,2500,180,3
C,N,98000,625,99,1
C,N,203000,1875,109,1
CD,Y,368400,1026,119,1
CD,Y,367800,1022,119,1
CD,Y,385800,1131,119,1
CD,Y,357600,852,4,1
